file, transcription
3536-23268-0000_14000.flac, "Sir Edward, not wholly discouraged by the denial with which Dorosworth had, with delicacy, acquainted him, still hoped for a kind reception and was so often at the house of Misses Horton, that Lord Fredrick's jealousy was excited and the tortures he suffered in consequence convinced him beyond a doubt of the sincerity of his affection."
3536-23268-0003_8000.flac, "Night after night his sleep had been disturbed by fears for her when abroad. Morning after morning it had been broken by the clamour of her return."
3536-23268-0004_12000.flac, "I hoped, Miss Millner, you passed this evening at home?"
3536-23268-0010_14000.flac, "And he walked immediatelly out of the appartment by another door."
3536-23268-0011_7000.flac, "Her hands fell motionless from that which she held, she apeared motionless herself untill Miss Horton, beseetching her not to be uneasy at the treatment she had received, made her tears flow as if her heart was breaking."
3536-23268-0020_7000.flac, "Miss Woodley did not recollect herself so but was so in reality, in her peace and charity were instinctive virtues, accidents could not increase them."
3536-23268-0024_10000.flac, "Dorosworth then laid the book out of his hand, and by the time the servant had left the room, thus began."
3536-23268-0030_10000.flac, "Keep your appointment, and be assured that I shall issue my commands with more circumspection for the future, as I find how strictly they are complied with."
3536-8226-0008_8000.flac, "The paternal parent has a right to his infant no doubt, that was Basel's law."
3536-8226-0017_8000.flac, "Then Basel came forward and introduced his wife."
3536-8226-0018_14000.flac, "But Travallion was of a different opinion and he was disgusted and revolted, most unreasonably, by the appearance of his Minister's domestic arrangements."
3536-8226-0019_7000.flac, "Basel had always waited upon him with a decent coat and a well-brushed hat and clean shoes."
3536-8226-0023_12000.flac, "Basel, away from his own home, out on busyness, with his coat buttoned over his breast and his best hat in his hand was aware that he commanded respect, and he could carry himself accordingly."
3536-8226-0024_10000.flac, """I do not suppose that anybody will question my right to have the care of my own child,"" said Travallion."
3536-8226-0026_12000.flac, "As he went about, his eyes were ever cast downwards and he walked with a quick, shuffling gate, and he suspected others feeling that he himself was suspected."
